[0303/160204.612:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0303/184647.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184652.761:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184657.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184703.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184708.046:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184713.062:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184718.073:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184723.079:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184728.104:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184733.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184738.128:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184743.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184748.156:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184753.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184758.190:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184803.208:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184808.213:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184813.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184818.226:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0303/184818.657:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0303/184823.254:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
